stock_code,stock_name,nid,title,content,view_count,like_count,dislike_count
000100,유한양행,404765858,"# 대규모 실적 턴어라운드,,,",https://www.asiaa.co.kr/news/articleView.html?idxno=225569,18,2,0
000100,유한양행,404737734,https://biz.newdaily.co.kr/site/data/html/2025/10/03/2025100300063.html,JNJ 신고가 행진 10/14 실적 발표 렉라자와 리브리반트 병용요법의 2027년 매출 목표를 50억달러(약 7조원)로 제시,609,24,4
000100,유한양행,404697246,개미들 7월 물려서 아우성 니들 털어야 주가 간다,털려야 가지 세력이 자선사업가가 아님,294,2,15
000100,유한양행,404674106,아직 쥐고있는 개인투자님들.,"상황이 괜찮습니다. 신용감소, 개인투자 매도, 외인증가, 트럼프헛발질, fda승인희망, 마일스톤캐시카우, 연기금 대놓고 매수, 국가공헌. 기다려요. 갑니다이건.",615,37,2
000100,유한양행,404666756,새삼스럽게,뭘 거품들을 물어. 한두번인가,56,5,0
000100,유한양행,404663845,다덜 고생하셨어요,개잡주 눈물난다..화딩 `.. 금일 소주에 입털고 육계장 컵 라면국물 로 마무리 ..,33,0,0
000100,유한양행,404659675,경영권 분쟁 뉴스 언제 나올까?,"이제 슬슬 뉴스 나올 타이밍이 왔는데,..",79,0,1
000100,유한양행,404652597,약국가서,여성 유산균 사먹고 홧병나서 디지겠음,54,3,0
000100,유한양행,404648051,4월부터 지금까지,가는 종목만 신고가 행진 7개월허송세월,26,4,0
000100,유한양행,404639906,찬티들,희망회로만 오지게 돌리쥬 ㅋㅋ 현실은 공매도 밥이쥬 ㅋㅋ,45,4,1
000100,유한양행,404629827,조병철교수님.,추매하세요. 계좌인증한번 올려주시면 떡상가능인데.,48,0,0
000100,유한양행,404623951,세력삼성사는라,돈읍다으잉,14,1,1
000100,유한양행,404619055,언제쯤 시원하게 장대양봉 보려나,코스피에서 이보다 더러운 회사가 있을가나,15,1,0
000100,유한양행,404616703,이가탄탄한테 밀리면 되겠냐,더 힘내라,9,0,0
000100,유한양행,404612346,화이자 관세 3년 유예면 없는거나 마찬가지,오능 제약바이오 올라야 하은데 반도체가 너무 쎄다 또 못가겠네,27,0,1
000100,유한양행,404600925,주주님들,조욱제 대표이사 퇴진운동 벌입시다,126,45,3
000100,유한양행,404590531,회사에서 누르나??,오르면 안되는 이유있음?,164,15,0
000100,유한양행,404579938,미국 FDA 주사제형 승인 기다리는 중...유럽은 이미 승인 난거니...,거의 90% 이상 승인 예상 됩니다.......10월말 11월초.....그러면 매출이...ㅋㅋㅋㅋㅋㅋㅋ,223,6,2
000100,유한양행,404572134,주식을 하면 할수록..,"드는 생각은,, 잘 되면이야 돈은 좀 벌지만 최악은 돈, 시간, 멘탈 모두 엉망이 됨! 그것도 악질 종목을 잡았을때.. 그래서 손절이 필요한데 손절하기는 정말 쉽지 않은듯! 허구많은 종목중에 왜 하필 양갱이를 골랐을까? 왜 아직 손절을 못하는 걸까? 미련,, 그리고 실날같은 희망 때문이겠죠? 그 실날같은 희망으로 세력놈들은 배불리는거고.. 알면서도 돌이키기 어려운 정말 미스테리이자 뼈아픈 실패!!",144,14,1
000100,유한양행,404563617,유한이 장점이,억재가 없음 호재뿐임 옥제가 쓰레기인거 빼고는 ㅋㅋㅋㅋ,64,7,1
000100,유한양행,404555794,오늘125000 넘으면,이제부터 훨훨날꺼 같은디~ 보자!!!,114,4,1
